name, Voelligkeit_VSsoll, Voelligkeit_HS, LCB, Bugwulstlaenge, Voelligkeit_BW, WinkelDucktail, eval_cw, eval_CT,Anz
NeoOpt1106BW_20_des0041, 0.082189305, 0.3, 0.20782979, 5.80137, 0.70193093, -7.9971954, 5.2567288e-05, 0.0017094149,41
NeoOpt1106BW_20_des0042, 0.083638761, 0.30013137, 0.20860193, 5.8123205, 0.70277616, -7.8810502, 5.1981231e-05, 0.001709363,42
NeoOpt1106BW_20_des0043, 0.08160814, 0.3, 0.2081809, 5.8302144, 0.69539976, -7.9383157, 5.3872496e-05, 0.0017107805,43
NeoOpt1106BW_20_des0044, 0.085495987, 0.30050837, 0.20905495, 5.817189, 0.7013288, -7.9471541, 5.2112158e-05, 0.0017089946,44
NeoOpt1106BW_20_des0045, 0.087806637, 0.30101675, 0.21141799, 5.8078331, 0.70350792, -7.9592081, 5.3799071e-05, 0.0017101679,45
NeoOpt1106BW_20_des0046, 0.085739903, 0.30610511, 0.20903786, 5.8169756, 0.70132064, -7.9474663, 5.2764084e-05, 0.0017123799,46
NeoOpt1106BW_20_des0047, 0.086015352, 0.3, 0.20843303, 5.8312735, 0.69228386, -7.9695594, 5.3938296e-05, 0.0017105434,47
NeoOpt1106BW_20_des0048, 0.085890941, 0.30101675, 0.20858254, 5.8210864, 0.70662901, -7.9590592, 5.3780223e-05, 0.0017110362,48
NeoOpt1106BW_20_des0049, 0.085107167, 0.3, 0.20845331, 5.8093083, 0.69996853, -7.9803023, 5.406663e-05, 0.0017107873,49
NeoOpt1106BW_20_des0050, 0.085974917, 0.3, 0.20969991, 5.8164977, 0.70105857, -7.9364915, 5.2937139e-05, 0.0017094181,50
NeoOpt1106BW_20_des0051, 0.085368778, 0.30054874, 0.20923382, 5.8183208, 0.70111703, -7.9589278, 5.2110518e-05, 0.0017089936,51
NeoOpt1106BW_20_des0052, 0.085317903, 0.3, 0.20882143, 5.8207876, 0.69943903, -7.9381667, 5.3664175e-05, 0.0017103804,52
NeoOpt1106BW_20_des0053, 0.085461565, 0.30187963, 0.20910029, 5.8169663, 0.70113242, -7.9455471, 5.3397427e-05, 0.0017109629,53
NeoOpt1106BW_20_des0054, 0.085541136, 0.30059546, 0.20906319, 5.8181068, 0.70187587, -7.9454831, 5.2448115e-05, 0.0017096072,54
NeoOpt1106BW_20_des0055, 0.085491987, 0.3, 0.2089623, 5.8152238, 0.70142075, -7.9560109, 5.2059142e-05, 0.0017088534,55
NeoOpt1106BW_20_des0056, 0.085758617, 0.30005971, 0.20890742, 5.8155164, 0.70118893, -7.9578351, 5.2292966e-05, 0.0017090519,56
NeoOpt1106BW_20_des0057, 0.085204192, 0.3, 0.20886731, 5.8159473, 0.70019541, -7.9526004, 5.2112642e-05, 0.0017088206,57
NeoOpt1106BW_20_des0058, 0.085299911, 0.30022088, 0.20899755, 5.8156046, 0.69992376, -7.9492631, 5.2145984e-05, 0.0017089624,58
